Name;Type;Ratio;Amount
fontColor;Color;1.00;34
fontName;String;1.00;33
fontSize;Magnitude;0.89;48
fontSize:;#yourself;1.00;96
for:do:;#yourself;0.93;304
forSpec;SpCommand;0.82;37
forSpecContext:;CmCommandDecorator;1.00;53
forceLayout;BlElement;1.00;32
forceLazyRebuild;ClyQueryResult;1.00;31
foreground:;#yourself;1.00;32
forwardingTarget:;BlEvent;1.00;108
freshID;Integer;1.00;291
from:of:in:;ClyTypedQuery;1.00;92
fromAll:of:in:;ClyUnionQuery;1.00;34
fromSelf;#yourself;1.00;57
fromSton:;#yourself;0.82;102
fullBounds;Rectangle;1.00;296
fullBrowserMenuActivation;CmdContextMenuActivation;1.00;34
fullDrawOn:;Morph;1.00;97
fullName;Symbol;1.00;58
gapSize:;RSAbstractBoxedLayout;1.00;42
generalizations;OPUMLToManyLinks;1.00;45
generate;#yourself;0.87;40
generateChanges;RBCompositeRefactoryChange;0.90;189
generateChangesFor:;ReAbstractTransformation;1.00;39
generateMethod:;CompiledMethod;1.00;34
generateMethod:classified:;CompiledMethod;1.00;38
geometry;BlElementGeometry;0.90;90
geometry:;#yourself;0.95;39
geometryBounds:;BlCachedBounds;1.00;41
getStereotype:;OntoUMLElement;1.00;43
getTestedClass;Object class;1.00;158
getValidatedClass;OPBPMNNodeModel class;1.00;36
getVerifiedClass;OPUMLElement class;1.00;57
getVerifiedClassInstance;OPUMLElement;1.00;47
globalPointToLocal:;Point;1.00;33
group;Symbol;0.92;563
group:with:;#yourself;1.00;163
hFitContent;BlElement;1.00;31
hMatchParent;#yourself;1.00;77
hResizing;Symbol;1.00;222
hResizing:;#yourself;1.00;226
handleEvent:;#yourself;1.00;201
handlesAnnouncement:;Boolean;1.00;138
handlesFolder:;Boolean;1.00;56
hasBorder;Boolean;1.00;50
hasCaps;Boolean;1.00;45
hasChildren;Boolean;1.00;201
hasComment;Boolean;1.00;41
hasConverged;Boolean;1.00;35
hasDropShadow;Boolean;1.00;128
hasFlag:;Boolean;1.00;60
hasFocus;Boolean;1.00;42
hasInteraction:;Boolean;1.00;42
hasLabel;Boolean;1.00;33
hasMooseModel;Boolean;1.00;288
hasNext;Boolean;1.00;353
hasParent;Boolean;1.00;222
hasParentWithNodeList:;Boolean;1.00;49
hasPredicates;Boolean;1.00;51
hasProperty:;Boolean;1.00;222
hasSettings;Boolean;1.00;88
hasSource;Boolean;1.00;138
