name;Type;Ratio;Amount
safely:;#yourself;1.00;50
satisfy:;Boolean;0.90;37
scopeClass;ClyAbstractNavigationEnvironmentTest;0.90;52
scopes;#yourself;0.90;36
scripting;Boolean;0.83;35
scroll;#yourself;0.95;38
searcher;OCParseTreeSearcher;1.00;39
select:;Collection;0.88;97
select:into:;XPathNodeSet;1.00;35
selectable;Boolean;1.00;102
selecter;ToListSelecter;0.97;72
selectionFrom:;#yourself;0.86;36
selectionMode;ToAbstractListSelectionMode;0.97;67
selectionMode:;ToAbstractListElement;1.00;45
selections;#yourself;0.92;60
selectorIn:;Symbol;1.00;48
selectorsIn:;Array;1.00;77
self;#yourself;0.95;401
selfAxis;#yourself;1.00;30
separatorAfter;#yourself;0.94;32
separators;#yourself;0.81;44
serializer;FLSerializationTest;0.89;40
setClass;Collection class;0.98;81
sets;Collection;0.86;54
shadow;Boolean;0.92;132
shape;RSShape;0.81;820
shape:;RSObject;0.80;262
shapes;SequenceableCollection;0.82;244
shapes:;#yourself;0.92;56
shapesPositionableByUser;SequenceableCollection;1.00;141
shared:;#soleInstance;0.82;344
shortcutActivation;CmdShortcutActivation;1.00;39
shortcuts:;#yourself;0.94;60
show;#yourself;0.97;122
siblingNodesDo:;XMLNode;1.00;58
side:;#yourself;0.85;40
simulable;Boolean;0.86;36
simulator:;OPSimulator;0.84;32
skin:;#yourself;0.98;80
skip;TestCase;1.00;41
snapshot:;#yourself;0.95;36
sortBlock;FullBlockClosure;1.00;30
sortOrder:;TestCase;1.00;30
sourceAnchor;Boolean;0.90;35
spaces;TestCase;0.83;108
spacing:;#yourself;0.91;52
specContext:;CmCommandDecorator;0.91;53
stamps:;#yourself;0.95;39
startingAt:count:;SequenceableCollection;0.94;32
static;Boolean;0.88;51
stepWith:;#yourself;1.00;137
steppable;Boolean;0.87;33
stepperClass;PMStepper class;1.00;39
stepping;#yourself;0.96;114
steps;Boolean;0.89;125
ston:;#yourself;0.83;104
strategy:;#yourself;0.96;158
string;ArrayedCollection;0.80;878
stringFor:;String;0.95;37
stringOn:;#yourself;1.00;613
stub:;#yourself;1.00;67
style:;#yourself;0.91;274
styleStore;ToStyleStore;0.99;81
submorphs;Boolean;0.81;178
suite;TestSuite;0.96;75
tableLayout;Boolean;0.81;134
tableProperties;TableLayoutProperties;0.95;90
tagAssociations;FMMultivalueLink;0.86;84
tagEntities;Boolean;0.82;97
tagged;Boolean;0.93;37
target:;#yourself;0.99;275
targetController;OPAbstractElementControllerTest;1.00;46
terminal;Boolean;0.97;31
test:;#yourself;0.84;102
testResult;TestResult class;0.95;35
tests:;#soleInstance;0.90;37
textMorph;Morph;0.97;30
textWith:;#yourself;1.00;33
theWidget;#yourself;1.00;40
theme;ToTheme;0.88;105
thickness;Integer;1.00;47
timeout:;#yourself;0.95;56
to;#yourself;0.82;184
toChildren;RSComposite;0.97;35
toEnvironment;Boolean;0.84;78
toModel;#yourself;1.00;55
toParent;#yourself;0.90;89
toShow;OPAbstractElementControllerTest;0.94;68
toTest;Object class;0.98;196
tokenProperties;Array;0.97;35
traitComposition;Boolean;0.93;452
traits;Collection;0.85;268
transform;#yourself;0.84;235
transparent;Boolean;0.97;66
typesIn:;SequenceableCollection;0.85;126
underTest;ReAbstractRule class;0.97;71
unifiedInstance;#yourself;1.00;146
unresolved:;Boolean;1.00;38
up;#yourself;0.99;3350
upTo;TestCase;1.00;55
upToEnd;#yourself;1.00;49
update;#yourself;0.93;127
users;Array;0.99;488
valid;Boolean;0.87;193
validModel;AbstractVerificationTest;0.89;63
validate;TestCase;1.00;64
validate:;Boolean;0.96;54
validator:;XMLAttributeValidator;0.94;45
valueX;Number;1.00;56
valueY;Number;1.00;58
values:;#yourself;0.89;70
varNames;Array;0.93;286
verifiedClassInstance;OPUMLElement;1.00;48
verify;#yourself;1.00;31
versionNumber;Integer;0.95;187
violated;ReAbstractRuleTestCase;1.00;39
visible;Boolean;0.89;602
warning:;#yourself;1.00;94
width;Number;0.90;556
width:;#yourself;0.85;225
window:;#yourself;0.93;167
with;TestCase;0.95;57
withArguments:;ReAbstractTransformation;0.91;32
withBlock;#yourself;1.00;50
withModel;#yourself;1.00;35
world:;#yourself;0.91;129
